Frame,Folder,Avg Intensity,Max Intensity,Predicted Max Intensity,Balance Index,Predicted Balance Index,Empirical_Law_Balance
65,frames,0.6942868424768656,1.0,1.0,0.6903911959703096,0.6445003238955511,0.6956372624531735
71,frames,0.7197876057598079,1.0,1.0,0.7157488743590557,0.6608009193909226,0.721263490220087
75,frames,0.7004301090650396,1.0,1.0,0.6964999926628167,0.6712569968236138,0.7019904000327492
76,frames,0.6942241488613307,1.0,1.0,0.6903288541289254,0.6738202005652972,0.6958055701542046
79,frames,0.6840395263384335,1.0,1.0,0.6802013775675019,0.6813888276850946,0.6856841615083803
83,frames,0.6961758790575653,1.0,1.0,0.6922696331585015,0.6912003054726517,0.697904259364105
84,frames,0.7143979728989219,1.0,1.0,0.7103894827517,0.6936035760209536,0.716146970541491
88,frames,0.6858732507653386,1.0,1.0,0.6820248129586359,0.7030200876966659,0.6877068474270724
89,frames,0.7046421021682161,1.0,1.0,0.7006883522542886,0.7053253771656954,0.7064963046840705
92,frames,0.7620004494492822,1.0,1.0,0.7577248615981556,0.7121250066673497,0.7639164474398438
94,frames,0.6897706588097277,1.0,1.0,0.6859003526294597,0.7165618356062082,0.6917301736258926
96,frames,0.6855921995445646,1.0,1.0,0.6817453387174897,0.7209222264302922,0.6875938021083742
97,frames,0.6951480874786568,1.0,1.0,0.6912476085226329,0.7230739096390316,0.6971704893688196
98,frames,0.6928074413544555,1.0,1.0,0.688920095774061,0.7252066658267627,0.694850892398187
99,frames,0.711368822180651,1.0,1.0,0.707377328611344,0.7273205558293805,0.7134328834353852
100,frames,0.6841705078614633,1.0,1.0,0.6803316241526337,0.7294156404827803,0.6862561402807982
326,frames1,0.7118369773762703,1.0,1.0,0.7078428569861152,0.8391268768075857,0.7186680287997453
332,frames1,0.6881017163175096,1.0,1.0,0.6842407745808573,0.8354575620953202,0.6950592661814669
347,frames1,0.7591333837270157,1.0,1.0,0.7548738829941831,0.8255837030339355,0.7664044419259574
355,frames1,0.8921728254229849,1.0,1.0,0.8871668398015319,0.8199625250837446,0.899609089793651
356,frames1,0.892264435500518,1.0,1.0,0.8872579358545197,0.8192446979427541,0.8997216979473726
359,frames1,0.7028569898857079,1.0,1.0,0.698913256244597,0.8170724367183093,0.7103812298889202
362,frames1,0.8892076755575674,1.0,1.0,0.8842183274049643,0.8148732833454522,0.8967910021963806
364,frames1,0.8900545257556064,1.0,1.0,0.8850604259228421,0.813393052159697,0.8976798346105654
366,frames1,0.695451863163919,1.0,1.0,0.691549679721198,0.8119020856258834,0.7031232586747925
368,frames1,0.892269657202914,1.0,1.0,0.8872631282579206,0.8104008704311714,0.8999789195401127
372,frames1,0.8869418073583775,1.0,1.0,0.8819651730021398,0.8073696408076974,0.894735181580423
376,frames1,0.8700663256817804,1.0,1.0,0.8651843797269612,0.8043032567865611,0.8779440542889411
378,frames1,0.8844670369469656,1.0,1.0,0.879504288538319,0.8027580985947718,0.8923864631391897
380,frames1,0.8857294455740443,1.0,1.0,0.8807596137850755,0.8012056118650499,0.8936908452556872
381,frames1,0.6892093129116896,1.0,1.0,0.6853421564457082,0.8004267723882017,0.6971958395161185
382,frames1,0.7130835921256549,1.0,1.0,0.7090824769746944,0.7996462832845557,0.7210906173702202
383,frames1,0.7118081831514101,1.0,1.0,0.7078142243257766,0.7988642053900066,0.719836235179564
384,frames1,0.8575786860808648,1.0,1.0,0.8527668083264062,0.7980805995404499,0.865624676928457
386,frames1,0.8863030652189113,1.0,1.0,0.881330014847609,0.7965090473198941,0.8943904528545417
387,frames1,0.8891270452702265,1.0,1.0,0.8841381495345179,0.7957212226206849,0.8972353736022758
388,frames1,0.7160277947702831,1.0,1.0,0.71201015968542,0.7949321133100493,0.724160758186593
391,frames1,0.8856577803147733,1.0,1.0,0.8806883506398874,0.7925576860685273,0.8938501815013866
392,frames1,0.8833407375367488,1.0,1.0,0.8783843087990139,0.7917640466711333,0.8915541873812605
395,frames1,0.87701898449886,1.0,1.0,0.872098027145041,0.7893774892308203,0.8852955671001855
396,frames1,0.8877316794012711,1.0,1.0,0.8827506130695497,0.7885802931209895,0.8960290370360036
397,frames1,0.868563132116216,1.0,1.0,0.8636896205870608,0.7877823599227878,0.8768818922904416
398,frames1,0.8570726082551305,1.0,1.0,0.8522635701055632,0.7869837504721098,0.8654126097303572
399,frames1,0.8734080626231282,1.0,1.0,0.8685073661677305,0.7861845256048503,0.8817687210538131
400,frames1,0.8471478521337459,1.0,1.0,0.842394501834138,0.7853847461569052,0.855530062028851
401,frames2,0.8556400877465864,1.0,1.0,0.8508390874758514,0.7845844729641691,0.8640431193047436
403,frames2,0.8008630213649508,1.0,1.0,0.7963693754530103,0.782982688687905,0.8093092032415021
404,frames2,0.727500498430921,1.0,1.0,0.7234184899556926,0.7821812992761665,0.735969220920454
405,frames2,0.8082938829452774,1.0,1.0,0.8037585424365434,0.7813796594632181,0.8167819087737355
406,frames2,0.7163432253225614,1.0,1.0,0.7123238203554915,0.7805778300849542,0.7248541821148297
407,frames2,0.8263791970712372,1.0,1.0,0.8217423797859257,0.7797758719772703,0.8349088431080987
408,frames2,0.8134659521196853,1.0,1.0,0.8089015911082164,0.7789738459760609,0.8220168693346908
409,frames2,0.8802356612099592,1.0,1.0,0.8752966550690603,0.7781718129172219,0.8888061762610737
410,frames2,0.7930599484280058,1.0,1.0,0.788610085592407,0.7773698336366475,0.8016532941690887
411,frames2,0.7825582497960456,1.0,1.0,0.7781673120373539,0.7765679689702338,0.7911728160727998
412,frames2,0.8373685831611287,1.0,1.0,0.8326701043824529,0.7757662797538747,0.8460029984208823
413,frames2,0.7083013032592085,1.0,1.0,0.704327021551972,0.7749648268234668,0.7169594289318401
414,frames2,0.8170417393701065,1.0,1.0,0.8124573146007524,0.7741636710149038,0.8257185814935797
415,frames2,0.7639694346749962,1.0,1.0,0.7596827988391653,0.773362873164082,0.772668391316868
418,frames2,0.775213353926742,1.0,1.0,0.7708636284108635,0.7709632357170104,0.7839750744463094
419,frames2,0.7895869133031179,1.0,1.0,0.7851565376827789,0.7701644780561017,0.7983693319779385
420,frames2,0.7844950976743599,1.0,1.0,0.7800932922537607,0.7693663825324095,0.7932986232773087
421,frames2,0.8142422491977959,1.0,1.0,0.8096735323800299,0.7685690099818276,0.8230661501105626
422,frames2,0.708387896332661,1.0,1.0,0.704413128751311,0.7677724212402528,0.7172350201868379
423,frames2,0.7102382553820351,1.0,1.0,0.7062531054279747,0.76697667714358,0.719106340378672
424,frames2,0.8115311280463587,1.0,1.0,0.8069776233412187,0.7661818385277033,0.8204180858926697
425,frames2,0.8071730990174462,1.0,1.0,0.802644047232228,0.7653879662285181,0.8160811483823667
426,frames2,0.8594009037544345,1.0,1.0,0.854578801528648,0.7645951210819195,0.8683288563354555
427,frames2,0.800688811726469,1.0,1.0,0.7961961433055712,0.7638033639238033,0.8096389972614226
428,frames2,0.6974421031190129,1.0,1.0,0.6935287524312082,0.7630127555900641,0.7064154568348473
429,frames2,0.6909012830812616,1.0,1.0,0.6870246329632663,0.7622233569165968,0.6998957741543169
430,frames2,0.713647130543754,1.0,1.0,0.7096428533762673,0.7614352287392965,0.7226621439540125
432,frames2,0.6903148963266527,1.0,1.0,0.6864415364272994,0.7598630272167788,0.6993723997138297
436,frames2,0.6993220581331464,1.0,1.0,0.6953981590095436,0.7567365469051346,0.7084633723699256
438,frames2,0.7181455390238289,1.0,1.0,0.7141160212667066,0.7551832414903297,0.7273284579675094
442,frames2,0.7478894912136995,1.0,1.0,0.7436930800108851,0.7520989335785595,0.757155785534384
443,frames2,0.6926292095435767,1.0,1.0,0.6887428640226517,0.751332857917888,0.7019176643301761
444,frames2,0.685517632096893,1.0,1.0,0.6816711896680927,0.7505689044559154,0.6948272362266189
445,frames2,0.7016632041378021,1.0,1.0,0.6977261688337385,0.7498071340285364,0.7109934692105153
447,frames2,0.6931806082993303,1.0,1.0,0.6892911688775777,0.7482903856211407,0.702553051506556
451,frames2,0.684890218492897,1.0,1.0,0.68104729648457,0.7452857620008597,0.6943468357983086
453,frames2,0.7086558230775735,1.0,1.0,0.7046795521580872,0.7437988601622965,0.7181539413052888
454,frames2,0.70970425433796,1.0,1.0,0.705722100666091,0.7430594746615422,0.719223350548619
457,frames2,0.6935559283465678,1.0,1.0,0.6896643830023903,0.7408583098641284,0.7031383636720724
458,frames2,0.7869134301067364,1.0,1.0,0.7824980554122931,0.740130454952924,0.7965149049247041
459,frames2,0.6958806473114174,1.0,1.0,0.6919760579589712,0.7394056347788456,0.7055050338178238
465,frames2,0.7192756253528795,1.0,1.0,0.7152397666764273,0.7351238500241295,0.729025520564747
470,frames2,0.6941473396866763,1.0,1.0,0.6902524759308856,0.7316503045802496,0.7040027625925429
471,frames2,0.7054926907443818,1.0,1.0,0.7015341681742372,0.7309666464514923,0.7153688753978761
475,frames2,0.688453341709464,1.0,1.0,0.6845904270012012,0.728270878333034,0.6984138841892881
517,frames2,0.7645601333617106,1.0,1.0,0.7602701831129677,0.7046403042342639,0.77540107759891
610,frames3,0.7746286312936226,1.0,1.0,0.7702821866589934,0.7003902210878343,0.7874223640923653
614,frames3,0.6948473851808769,1.0,1.0,0.6909485934667596,0.7022399588349759,0.707726793385788
615,frames3,0.8247010821774465,1.0,1.0,0.8200736808021359,0.7027335540239288,0.8375987634547207
618,frames3,0.6927596689580937,1.0,1.0,0.688872591428824,0.7042900987703091,0.7057231210050456
620,frames3,0.7255670508190671,1.0,1.0,0.7214958909268363,0.70539153627645,0.7385718139109999
621,frames3,0.706112841348893,1.0,1.0,0.702150839110997,0.7059615598397726,0.7191390129792246
640,frames3,0.7008478490500036,1.0,1.0,0.6969153887069,0.7193220481885878,0.7142731312451736
643,frames3,0.697563527127104,1.0,1.0,0.6936494951286594,0.721886418574115,0.7110518782930344
644,frames3,0.6867714831971777,1.0,1.0,0.6829180054043755,0.7227697063435383,0.7002810609960305
